 ,Label,Area,Mean,Min,Max,Perim.,IntDen,RawIntDen
1,22946173.tif,433,255,255,255,75.841,110415,110415
2,22946173.tif,304,255,255,255,63.941,77520,77520
3,22946173.tif,274,255,255,255,60.77,69870,69870
4,22946173.tif,456,255,255,255,83.983,116280,116280
5,22946173.tif,259,255,255,255,60.77,66045,66045
6,22946173.tif,332,255,255,255,66.184,84660,84660
7,22946173.tif,436,255,255,255,76.669,111180,111180
8,22946173.tif,279,255,255,255,61.941,71145,71145
9,22946173.tif,471,255,255,255,82.326,120105,120105
10,22946173.tif,262,255,255,255,59.355,66810,66810
11,22946173.tif,281,255,255,255,61.598,71655,71655
12,22946173.tif,266,255,255,255,60.527,67830,67830
13,22946173.tif,327,255,255,255,67.841,83385,83385
14,22946173.tif,268,255,255,255,61.113,68340,68340
15,22946173.tif,314,255,255,255,65.012,80070,80070
16,22946173.tif,381,255,255,255,72.426,97155,97155
17,22946173.tif,258,255,255,255,59.355,65790,65790
18,22946173.tif,309,255,255,255,65.355,78795,78795
19,22946173.tif,456,255,255,255,78.669,116280,116280
20,22946173.tif,269,255,255,255,59.941,68595,68595
21,22946173.tif,306,255,255,255,64.77,78030,78030
22,22946173.tif,295,255,255,255,66.184,75225,75225
23,22946173.tif,268,255,255,255,59.698,68340,68340
24,22946173.tif,318,255,255,255,66.184,81090,81090
25,22946173.tif,344,255,255,255,68.77,87720,87720
26,22946173.tif,288,255,255,255,62.77,73440,73440
27,22946173.tif,295,255,255,255,63.355,75225,75225
28,22946173.tif,366,255,255,255,70.184,93330,93330
29,22946173.tif,384,255,255,255,73.012,97920,97920
30,22946173.tif,499,255,255,255,86.669,127245,127245
31,22946173.tif,317,255,255,255,65.355,80835,80835
32,22946173.tif,299,255,255,255,62.77,76245,76245
33,22946173.tif,309,255,255,255,65.941,78795,78795
34,22946173.tif,314,255,255,255,64.184,80070,80070
35,22946173.tif,273,255,255,255,62.184,69615,69615
36,22946173.tif,337,255,255,255,67.941,85935,85935
37,22946173.tif,291,255,255,255,63.355,74205,74205
38,22946173.tif,267,255,255,255,60.77,68085,68085
39,22946173.tif,288,255,255,255,63.456,73440,73440
40,22946173.tif,346,255,255,255,68.184,88230,88230
41,22946173.tif,286,255,255,255,62.284,72930,72930
42,22946173.tif,329,255,255,255,66.77,83895,83895
43,22946173.tif,358,255,255,255,71.841,91290,91290
44,22946173.tif,388,255,255,255,72.184,98940,98940
45,22946173.tif,266,255,255,255,60.77,67830,67830
46,22946173.tif,329,255,255,255,66.669,83895,83895
47,22946173.tif,412,255,255,255,75.012,105060,105060
48,22946173.tif,264,255,255,255,61.698,67320,67320
49,22946173.tif,280,255,255,255,61.012,71400,71400
50,22946173.tif,253,255,255,255,59.456,64515,64515
51,22946173.tif,474,255,255,255,86.669,120870,120870
52,22946173.tif,251,255,255,255,61.598,64005,64005
53,22946173.tif,352,255,255,255,68.77,89760,89760
54,22946173.tif,320,255,255,255,65.941,81600,81600
55,22946173.tif,471,255,255,255,86.77,120105,120105
56,22946173.tif,337,255,255,255,68.426,85935,85935
57,22946173.tif,468,255,255,255,80.083,119340,119340
58,22946173.tif,363,255,255,255,70.083,92565,92565
59,22946173.tif,284,255,255,255,65.012,72420,72420
60,22946173.tif,324,255,255,255,67.255,82620,82620
61,22946173.tif,255,255,255,255,59.698,65025,65025
62,22946173.tif,281,255,255,255,60.77,71655,71655
63,22946173.tif,265,255,255,255,59.941,67575,67575
64,22946173.tif,307,255,255,255,67.941,78285,78285
65,22946173.tif,315,255,255,255,65.941,80325,80325
66,22946173.tif,343,255,255,255,68.527,87465,87465
67,22946173.tif,253,255,255,255,58.77,64515,64515
68,22946173.tif,236,255,255,255,58.627,60180,60180
69,22946173.tif,497,255,255,255,86.569,126735,126735
70,22946173.tif,325,255,255,255,65.941,82875,82875
71,22946173.tif,305,255,255,255,63.598,77775,77775
72,22946173.tif,378,255,255,255,73.355,96390,96390
73,22946173.tif,279,255,255,255,62.77,71145,71145
74,22946173.tif,310,255,255,255,65.355,79050,79050
75,22946173.tif,350,255,255,255,69.012,89250,89250
76,22946173.tif,318,255,255,255,65.598,81090,81090
77,22946173.tif,310,255,255,255,65.255,79050,79050
78,22946173.tif,296,255,255,255,63.355,75480,75480
79,22946173.tif,295,255,255,255,63.456,75225,75225
80,22946173.tif,278,255,255,255,61.598,70890,70890
81,22946173.tif,212,255,255,255,55.113,54060,54060
82,22946173.tif,453,255,255,255,79.497,115515,115515
83,22946173.tif,326,255,255,255,68.184,83130,83130
84,22946173.tif,320,255,255,255,66.77,81600,81600
85,22946173.tif,481,255,255,255,84.912,122655,122655
86,22946173.tif,323,255,255,255,67.355,82365,82365
87,22946173.tif,338,255,255,255,67.598,86190,86190
88,22946173.tif,279,255,255,255,61.355,71145,71145
89,22946173.tif,335,255,255,255,67.255,85425,85425
90,22946173.tif,251,255,255,255,61.941,64005,64005
91,22946173.tif,332,255,255,255,67.698,84660,84660
92,22946173.tif,241,255,255,255,60.284,61455,61455
93,22946173.tif,391,255,255,255,72.426,99705,99705
94,22946173.tif,307,255,255,255,63.941,78285,78285
95,22946173.tif,261,255,255,255,63.113,66555,66555
96,22946173.tif,367,255,255,255,78.184,93585,93585
97,22946173.tif,336,255,255,255,67.841,85680,85680
98,22946173.tif,246,255,255,255,59.012,62730,62730
99,22946173.tif,259,255,255,255,59.113,66045,66045
100,22946173.tif,458,255,255,255,80.426,116790,116790
